phone_name,    input_format,consider_exact_values_of_frequency , populate_inputs_to_considere_thread_combinations_on_same_socket, maximum_number_of_combination, Lamda or kernel ridge coef,search_ridge_coeff,search_strategy,number_of_iteration_during_exploration,l_o_o_on_alpha_exploration,ltolerance,lambda_min,max_iterations,sequential_gap,dichotomic_progression_ratio,standartize_inputs,R2_score,energy_gap,number_of_neighbours,X_format_in_model
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.730902889668161,False,----,0,1E-23,1E-23,0.000000001,100,0.001,33,False,0.452087225655615,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,1,True,dichotomic,0,1E-22,1E-22,0.000000001,100,0.001,33,False,0.430182466207879,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.730902889668161,False,----,0,1E-23,1E-23,0.000000001,100,0.001,33,False,0.452087225655615,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.449300601521494,True,dichotomic,26,1.27523660728328E-21,1E-23,0.000000001,100,0.001,33,False,0.474935684653529,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.449300601521494,False,----,0,1E-23,1E-23,0.000000001,100,0.001,33,False,0.474935684653529,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,True,explore_all_values,1,1.08764237698788E-21,1E-23,0.000000001,100,0.001,100,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.449300601521494,False,----,0,1E-23,1E-23,0.000000001,100,0.001,100,False,0.474935684653529,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.449300601521494,False,----,0,1E-23,1E-23,0.000000001,100,0.001,100,False,0.474935684653529,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.449300601521494,False,----,0,1E-23,1E-23,0.000000001,100,0.001,100,False,0.474935684653529,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
google_pixel_4a_5g,google_pixel_4a_5g_format,False,False,1000,0.01000000099,False,----,0,1E-23,1E-23,0.000000001,1000,0.001,1000,False,0.504347310732448,10,10,
