X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,1305408018.381304,851506120.4098593,453901897.9714447
X_1,Core 0 state,-163346771.62363437,2445061530.543319,2608408302.1669536
X_2,Core 1 state,497702809.3492439,2248661920.959177,1750959111.6099331
X_3,Core 2 state,797991458.598069,1939414893.0309072,1141423434.4328382
X_4,Core 3 state,195662370.68399423,2073362269.56917,1877699898.8851757
X_5,Core 4 state,34623597.341355085,690475478.6954708,655851881.3541157
X_6,Core 5 state,-2188484988.7606955,2420467597.8918395,4608952586.6525345
X_7,Medium Socket or core 6 frequency,480255765.5576195,1745611145.002953,1265355379.4453335
X_8,Big Socket or core 7 frequency,1598594659.007247,970662474.252771,627932184.754476


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,1598594659.007247,970662474.252771,627932184.754476
X_0,frequency level of Little Socket,1305408018.381304,851506120.4098593,453901897.9714447
X_3,Core 2 state,797991458.598069,1939414893.0309072,1141423434.4328382
X_2,Core 1 state,497702809.3492439,2248661920.959177,1750959111.6099331
X_7,Medium Socket or core 6 frequency,480255765.5576195,1745611145.002953,1265355379.4453335
X_4,Core 3 state,195662370.68399423,2073362269.56917,1877699898.8851757
X_5,Core 4 state,34623597.341355085,690475478.6954708,655851881.3541157
X_1,Core 0 state,-163346771.62363437,2445061530.543319,2608408302.1669536
X_6,Core 5 state,-2188484988.7606955,2420467597.8918395,4608952586.6525345


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,-163346771.62363437,2445061530.543319,2608408302.1669536
X_6,Core 5 state,-2188484988.7606955,2420467597.8918395,4608952586.6525345
X_2,Core 1 state,497702809.3492439,2248661920.959177,1750959111.6099331
X_4,Core 3 state,195662370.68399423,2073362269.56917,1877699898.8851757
X_3,Core 2 state,797991458.598069,1939414893.0309072,1141423434.4328382
X_7,Medium Socket or core 6 frequency,480255765.5576195,1745611145.002953,1265355379.4453335
X_8,Big Socket or core 7 frequency,1598594659.007247,970662474.252771,627932184.754476
X_0,frequency level of Little Socket,1305408018.381304,851506120.4098593,453901897.9714447
X_5,Core 4 state,34623597.341355085,690475478.6954708,655851881.3541157


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2188484988.7606955,2420467597.8918395,4608952586.6525345
X_1,Core 0 state,-163346771.62363437,2445061530.543319,2608408302.1669536
X_4,Core 3 state,195662370.68399423,2073362269.56917,1877699898.8851757
X_2,Core 1 state,497702809.3492439,2248661920.959177,1750959111.6099331
X_7,Medium Socket or core 6 frequency,480255765.5576195,1745611145.002953,1265355379.4453335
X_3,Core 2 state,797991458.598069,1939414893.0309072,1141423434.4328382
X_5,Core 4 state,34623597.341355085,690475478.6954708,655851881.3541157
X_8,Big Socket or core 7 frequency,1598594659.007247,970662474.252771,627932184.754476
X_0,frequency level of Little Socket,1305408018.381304,851506120.4098593,453901897.9714447
