acceptance_degree, static score
131, 1.0
121, 0.9834710743801653
111, 0.9369369369369369
141, 0.9361702127659575
91, 0.9340659340659341
101, 0.9306930693069307
81, 0.9135802469135802
151, 0.8741721854304636
71, 0.8732394366197183
51, 0.8235294117647058
161, 0.8198757763975155
61, 0.819672131147541
31, 0.7741935483870968
171, 0.7719298245614035
21, 0.7619047619047619
41, 0.7317073170731707
181, 0.7292817679558011
191, 0.6910994764397905
201, 0.6567164179104478
211, 0.6255924170616114
221, 0.5972850678733032
231, 0.5714285714285714
241, 0.5477178423236515
11, 0.5454545454545454
251, 0.5258964143426295
261, 0.5057471264367817
271, 0.4870848708487085
281, 0.4697508896797153
291, 0.4536082474226804
301, 0.43853820598006643
311, 0.42443729903536975
321, 0.411214953271028
331, 0.3987915407854985
341, 0.3870967741935484
351, 0.37606837606837606
361, 0.3656509695290859
371, 0.3557951482479784
381, 0.3464566929133858
391, 0.3375959079283887
1, 0.0
