acceptance_degree, static score
81, 1.0
71, 0.971830985915493
61, 0.9344262295081968
91, 0.9120879120879121
51, 0.8823529411764706
101, 0.8217821782178217
41, 0.8048780487804879
111, 0.7477477477477478
31, 0.7419354838709677
21, 0.7142857142857143
121, 0.6859504132231405
131, 0.6335877862595419
141, 0.5886524822695035
151, 0.5496688741721855
11, 0.5454545454545454
161, 0.515527950310559
171, 0.4853801169590643
181, 0.4585635359116022
191, 0.43455497382198954
201, 0.4129353233830846
211, 0.3933649289099526
221, 0.3755656108597285
231, 0.3593073593073593
241, 0.34439834024896265
1, 0.0
