acceptance_degree, static score
141, 1.0
131, 0.9847328244274809
121, 0.9669421487603306
101, 0.9405940594059405
111, 0.9369369369369369
91, 0.9340659340659341
151, 0.9337748344370861
81, 0.8888888888888888
161, 0.8757763975155279
71, 0.8591549295774648
61, 0.8360655737704918
171, 0.8245614035087719
21, 0.8095238095238095
31, 0.8064516129032258
181, 0.7790055248618785
51, 0.7647058823529411
41, 0.7560975609756098
191, 0.7382198952879581
11, 0.7272727272727273
201, 0.7014925373134329
211, 0.6682464454976303
221, 0.6380090497737556
231, 0.6103896103896104
241, 0.5850622406639004
251, 0.5617529880478087
261, 0.5402298850574713
271, 0.5202952029520295
281, 0.501779359430605
291, 0.4845360824742268
301, 0.4684385382059801
311, 0.4533762057877814
321, 0.4392523364485981
331, 0.4259818731117825
341, 0.41348973607038125
351, 0.4017094017094017
361, 0.39058171745152354
371, 0.38005390835579517
381, 0.3700787401574803
391, 0.36061381074168797
401, 0.3516209476309227
411, 0.34306569343065696
421, 0.334916864608076
1, 0.0
