acceptance_degree, static score
1, 1.0
151, 0.9801324503311258
161, 0.9751552795031055
141, 0.9716312056737588
131, 0.9694656488549618
121, 0.9338842975206612
101, 0.9207920792079208
111, 0.918918918918919
171, 0.9181286549707602
91, 0.8901098901098901
181, 0.8674033149171271
81, 0.8518518518518519
71, 0.8450704225352113
191, 0.8219895287958116
51, 0.803921568627451
61, 0.8032786885245902
201, 0.7810945273631841
41, 0.7804878048780488
211, 0.7440758293838863
221, 0.7104072398190046
31, 0.7096774193548387
231, 0.6796536796536796
21, 0.6666666666666666
241, 0.6514522821576764
11, 0.6363636363636364
251, 0.6254980079681275
261, 0.6015325670498084
271, 0.5793357933579336
281, 0.5587188612099644
291, 0.5395189003436426
301, 0.521594684385382
311, 0.5048231511254019
321, 0.48909657320872274
331, 0.4743202416918429
341, 0.4604105571847507
351, 0.4472934472934473
361, 0.43490304709141275
371, 0.42318059299191374
381, 0.4120734908136483
391, 0.40153452685422
401, 0.3915211970074813
411, 0.3819951338199513
421, 0.37292161520190026
431, 0.3642691415313225
441, 0.35600907029478457
451, 0.34811529933481156
461, 0.3405639913232104
471, 0.3333333333333333
