acceptance_degree, static score
1, 1.0
171, 0.9941520467836257
161, 0.9813664596273292
151, 0.9801324503311258
181, 0.9613259668508287
141, 0.9574468085106383
131, 0.9465648854961832
111, 0.9459459459459459
121, 0.9256198347107438
191, 0.9109947643979057
101, 0.8910891089108911
81, 0.8765432098765432
61, 0.8688524590163934
201, 0.8656716417910447
51, 0.8627450980392157
71, 0.8591549295774648
91, 0.8571428571428571
211, 0.8246445497630331
41, 0.8048780487804879
221, 0.7873303167420814
21, 0.7619047619047619
231, 0.7532467532467533
241, 0.7219917012448133
251, 0.6932270916334662
31, 0.6774193548387096
261, 0.6666666666666666
271, 0.6420664206642066
281, 0.6192170818505338
291, 0.5979381443298969
301, 0.5780730897009967
311, 0.5594855305466238
11, 0.5454545454545454
321, 0.5420560747663551
331, 0.525679758308157
341, 0.5102639296187683
351, 0.49572649572649574
361, 0.481994459833795
371, 0.46900269541778977
381, 0.4566929133858268
391, 0.44501278772378516
401, 0.4339152119700748
411, 0.4233576642335766
421, 0.41330166270783847
431, 0.4037122969837587
441, 0.3945578231292517
451, 0.3858093126385809
461, 0.3774403470715835
471, 0.36942675159235666
481, 0.36174636174636177
491, 0.3543788187372709
501, 0.3473053892215569
511, 0.3405088062622309
521, 0.33397312859884837
