acceptance_degree, static score
1, 1.0
91, 0.989010989010989
101, 0.9801980198019802
81, 0.9629629629629629
71, 0.9014084507042254
111, 0.8918918918918919
61, 0.8360655737704918
51, 0.8235294117647058
121, 0.8181818181818182
131, 0.7557251908396947
41, 0.7317073170731707
141, 0.7021276595744681
31, 0.6774193548387096
151, 0.6556291390728477
21, 0.6190476190476191
161, 0.6149068322981367
171, 0.5789473684210527
181, 0.5469613259668509
191, 0.518324607329843
201, 0.4925373134328358
211, 0.46919431279620855
11, 0.45454545454545453
221, 0.4479638009049774
231, 0.42857142857142855
241, 0.4107883817427386
251, 0.3944223107569721
261, 0.3793103448275862
271, 0.36531365313653136
281, 0.35231316725978645
291, 0.3402061855670103
