acceptance_degree, static score
1, 1.0
161, 0.9937888198757764
151, 0.9867549668874173
171, 0.9649122807017544
141, 0.9574468085106383
131, 0.9389312977099237
121, 0.9256198347107438
111, 0.918918918918919
181, 0.9116022099447514
101, 0.9108910891089109
91, 0.8901098901098901
81, 0.8888888888888888
191, 0.8638743455497382
71, 0.8591549295774648
61, 0.8524590163934426
51, 0.8235294117647058
201, 0.8208955223880597
211, 0.7819905213270142
41, 0.7804878048780488
221, 0.746606334841629
31, 0.7419354838709677
231, 0.7142857142857143
241, 0.6846473029045643
21, 0.6666666666666666
251, 0.6573705179282868
11, 0.6363636363636364
261, 0.632183908045977
271, 0.6088560885608856
281, 0.5871886120996441
291, 0.5670103092783505
301, 0.5481727574750831
311, 0.5305466237942122
321, 0.514018691588785
331, 0.4984894259818731
341, 0.4838709677419355
351, 0.4700854700854701
361, 0.45706371191135736
371, 0.444743935309973
381, 0.4330708661417323
391, 0.4219948849104859
401, 0.4114713216957606
411, 0.40145985401459855
421, 0.3919239904988123
431, 0.382830626450116
441, 0.3741496598639456
451, 0.36585365853658536
461, 0.3579175704989154
471, 0.3503184713375796
481, 0.34303534303534305
491, 0.3360488798370672
