X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-412556801.55709714,389632888.4982499,802189690.055347
X_1,Core 0 state,-1264188906.7534356,1004682558.4998031,2268871465.2532387
X_2,Core 1 state,-1536345475.9378936,1203532991.5503676,2739878467.488261
X_3,Core 2 state,-1584467613.0221124,1043712635.855875,2628180248.8779874
X_4,Core 3 state,-3578325885.0620103,2416448287.019146,5994774172.081156
X_5,frequency level of Big Socket,149970046.12991115,177102052.09242576,27132005.96251461
X_6,Core 4 state,-3260607619.6506376,2568588945.394195,5829196565.044832
X_7,Core 5 state,-3037945754.9799795,2084146858.1082678,5122092613.088247
X_8,Core 6 state,-2510123228.7586713,1863545249.804789,4373668478.56346
X_9,Core 7 state,-2944634415.4973207,2270468542.285238,5215102957.782558


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,149970046.12991115,177102052.09242576,27132005.96251461
X_0,frequency level of Little Socket,-412556801.55709714,389632888.4982499,802189690.055347
X_1,Core 0 state,-1264188906.7534356,1004682558.4998031,2268871465.2532387
X_2,Core 1 state,-1536345475.9378936,1203532991.5503676,2739878467.488261
X_3,Core 2 state,-1584467613.0221124,1043712635.855875,2628180248.8779874
X_8,Core 6 state,-2510123228.7586713,1863545249.804789,4373668478.56346
X_9,Core 7 state,-2944634415.4973207,2270468542.285238,5215102957.782558
X_7,Core 5 state,-3037945754.9799795,2084146858.1082678,5122092613.088247
X_6,Core 4 state,-3260607619.6506376,2568588945.394195,5829196565.044832
X_4,Core 3 state,-3578325885.0620103,2416448287.019146,5994774172.081156


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 4 state,-3260607619.6506376,2568588945.394195,5829196565.044832
X_4,Core 3 state,-3578325885.0620103,2416448287.019146,5994774172.081156
X_9,Core 7 state,-2944634415.4973207,2270468542.285238,5215102957.782558
X_7,Core 5 state,-3037945754.9799795,2084146858.1082678,5122092613.088247
X_8,Core 6 state,-2510123228.7586713,1863545249.804789,4373668478.56346
X_2,Core 1 state,-1536345475.9378936,1203532991.5503676,2739878467.488261
X_3,Core 2 state,-1584467613.0221124,1043712635.855875,2628180248.8779874
X_1,Core 0 state,-1264188906.7534356,1004682558.4998031,2268871465.2532387
X_0,frequency level of Little Socket,-412556801.55709714,389632888.4982499,802189690.055347
X_5,frequency level of Big Socket,149970046.12991115,177102052.09242576,27132005.96251461


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_4,Core 3 state,-3578325885.0620103,2416448287.019146,5994774172.081156
X_6,Core 4 state,-3260607619.6506376,2568588945.394195,5829196565.044832
X_9,Core 7 state,-2944634415.4973207,2270468542.285238,5215102957.782558
X_7,Core 5 state,-3037945754.9799795,2084146858.1082678,5122092613.088247
X_8,Core 6 state,-2510123228.7586713,1863545249.804789,4373668478.56346
X_2,Core 1 state,-1536345475.9378936,1203532991.5503676,2739878467.488261
X_3,Core 2 state,-1584467613.0221124,1043712635.855875,2628180248.8779874
X_1,Core 0 state,-1264188906.7534356,1004682558.4998031,2268871465.2532387
X_0,frequency level of Little Socket,-412556801.55709714,389632888.4982499,802189690.055347
X_5,frequency level of Big Socket,149970046.12991115,177102052.09242576,27132005.96251461
