X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-636890839.8696327,345561585.14031035,982452425.009943
X_1,Core 0 state,-1324257873.5030248,1092619205.5409508,2416877079.043976
X_2,Core 1 state,-1436542959.7811882,1149454033.2088675,2585996992.990056
X_3,Core 2 state,-1756354719.691998,1232184063.8009343,2988538783.4929323
X_4,Core 3 state,-3174865996.000252,2369379258.03625,5544245254.036502
X_5,frequency level of Big Socket,-111592861.07940975,172393791.3793872,283986652.458797
X_6,Core 4 state,-2684240761.929013,2516075808.428686,5200316570.357698
X_7,Core 5 state,-2794616451.321413,2050955901.284208,4845572352.605621
X_8,Core 6 state,-2586303927.5160336,1813547647.0183508,4399851574.534385
X_9,Core 7 state,-3214572343.1315823,2469059407.8021164,5683631750.933699


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,-111592861.07940975,172393791.3793872,283986652.458797
X_0,frequency level of Little Socket,-636890839.8696327,345561585.14031035,982452425.009943
X_1,Core 0 state,-1324257873.5030248,1092619205.5409508,2416877079.043976
X_2,Core 1 state,-1436542959.7811882,1149454033.2088675,2585996992.990056
X_3,Core 2 state,-1756354719.691998,1232184063.8009343,2988538783.4929323
X_8,Core 6 state,-2586303927.5160336,1813547647.0183508,4399851574.534385
X_6,Core 4 state,-2684240761.929013,2516075808.428686,5200316570.357698
X_7,Core 5 state,-2794616451.321413,2050955901.284208,4845572352.605621
X_4,Core 3 state,-3174865996.000252,2369379258.03625,5544245254.036502
X_9,Core 7 state,-3214572343.1315823,2469059407.8021164,5683631750.933699


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 4 state,-2684240761.929013,2516075808.428686,5200316570.357698
X_9,Core 7 state,-3214572343.1315823,2469059407.8021164,5683631750.933699
X_4,Core 3 state,-3174865996.000252,2369379258.03625,5544245254.036502
X_7,Core 5 state,-2794616451.321413,2050955901.284208,4845572352.605621
X_8,Core 6 state,-2586303927.5160336,1813547647.0183508,4399851574.534385
X_3,Core 2 state,-1756354719.691998,1232184063.8009343,2988538783.4929323
X_2,Core 1 state,-1436542959.7811882,1149454033.2088675,2585996992.990056
X_1,Core 0 state,-1324257873.5030248,1092619205.5409508,2416877079.043976
X_0,frequency level of Little Socket,-636890839.8696327,345561585.14031035,982452425.009943
X_5,frequency level of Big Socket,-111592861.07940975,172393791.3793872,283986652.458797


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-3214572343.1315823,2469059407.8021164,5683631750.933699
X_4,Core 3 state,-3174865996.000252,2369379258.03625,5544245254.036502
X_6,Core 4 state,-2684240761.929013,2516075808.428686,5200316570.357698
X_7,Core 5 state,-2794616451.321413,2050955901.284208,4845572352.605621
X_8,Core 6 state,-2586303927.5160336,1813547647.0183508,4399851574.534385
X_3,Core 2 state,-1756354719.691998,1232184063.8009343,2988538783.4929323
X_2,Core 1 state,-1436542959.7811882,1149454033.2088675,2585996992.990056
X_1,Core 0 state,-1324257873.5030248,1092619205.5409508,2416877079.043976
X_0,frequency level of Little Socket,-636890839.8696327,345561585.14031035,982452425.009943
X_5,frequency level of Big Socket,-111592861.07940975,172393791.3793872,283986652.458797
