X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-549553883.5200605,553763210.0131254,1103317093.533186
X_1,Core 0 state,-1275161046.4342904,897606680.6745838,2172767727.1088743
X_2,Core 1 state,-1213610469.7087927,1220149004.8208008,2433759474.5295935
X_3,Core 2 state,-1324892801.501851,1109326271.2499664,2434219072.7518177
X_4,Core 3 state,-2713384524.642259,2108365562.0008345,4821750086.643093
X_5,frequency level of Big Socket,-393563683.91373307,405513953.02183807,799077636.9355712
X_6,Core 4 state,-2259744043.5522027,2243637585.783018,4503381629.33522
X_7,Core 5 state,-2806945286.496471,2041710231.3462555,4848655517.842727
X_8,Core 6 state,-2119614251.7836776,1665083103.8088892,3784697355.5925665
X_9,Core 7 state,-3176802080.1762652,2683327326.145057,5860129406.321322


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,-393563683.91373307,405513953.02183807,799077636.9355712
X_0,frequency level of Little Socket,-549553883.5200605,553763210.0131254,1103317093.533186
X_2,Core 1 state,-1213610469.7087927,1220149004.8208008,2433759474.5295935
X_1,Core 0 state,-1275161046.4342904,897606680.6745838,2172767727.1088743
X_3,Core 2 state,-1324892801.501851,1109326271.2499664,2434219072.7518177
X_8,Core 6 state,-2119614251.7836776,1665083103.8088892,3784697355.5925665
X_6,Core 4 state,-2259744043.5522027,2243637585.783018,4503381629.33522
X_4,Core 3 state,-2713384524.642259,2108365562.0008345,4821750086.643093
X_7,Core 5 state,-2806945286.496471,2041710231.3462555,4848655517.842727
X_9,Core 7 state,-3176802080.1762652,2683327326.145057,5860129406.321322


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-3176802080.1762652,2683327326.145057,5860129406.321322
X_6,Core 4 state,-2259744043.5522027,2243637585.783018,4503381629.33522
X_4,Core 3 state,-2713384524.642259,2108365562.0008345,4821750086.643093
X_7,Core 5 state,-2806945286.496471,2041710231.3462555,4848655517.842727
X_8,Core 6 state,-2119614251.7836776,1665083103.8088892,3784697355.5925665
X_2,Core 1 state,-1213610469.7087927,1220149004.8208008,2433759474.5295935
X_3,Core 2 state,-1324892801.501851,1109326271.2499664,2434219072.7518177
X_1,Core 0 state,-1275161046.4342904,897606680.6745838,2172767727.1088743
X_0,frequency level of Little Socket,-549553883.5200605,553763210.0131254,1103317093.533186
X_5,frequency level of Big Socket,-393563683.91373307,405513953.02183807,799077636.9355712


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_9,Core 7 state,-3176802080.1762652,2683327326.145057,5860129406.321322
X_7,Core 5 state,-2806945286.496471,2041710231.3462555,4848655517.842727
X_4,Core 3 state,-2713384524.642259,2108365562.0008345,4821750086.643093
X_6,Core 4 state,-2259744043.5522027,2243637585.783018,4503381629.33522
X_8,Core 6 state,-2119614251.7836776,1665083103.8088892,3784697355.5925665
X_3,Core 2 state,-1324892801.501851,1109326271.2499664,2434219072.7518177
X_2,Core 1 state,-1213610469.7087927,1220149004.8208008,2433759474.5295935
X_1,Core 0 state,-1275161046.4342904,897606680.6745838,2172767727.1088743
X_0,frequency level of Little Socket,-549553883.5200605,553763210.0131254,1103317093.533186
X_5,frequency level of Big Socket,-393563683.91373307,405513953.02183807,799077636.9355712
