phone_name,    input_format,consider_exact_values_of_frequency , populate_inputs_to_considere_thread_combinations_on_same_socket, maximum_number_of_combination, Lamda or kernel ridge coef,search_ridge_coeff,search_strategy,number_of_iteration_during_exploration,l_o_o_on_alpha_exploration,ltolerance,lambda_min,max_iterations,sequential_gap,dichotomic_progression_ratio,standartize_inputs,R2_score
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.366032341907197,True,dichotomic,100,40257577.4488438,100000,1E-09,100,0.1,100,True,-1.27022415881119
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,dichotomic,0,9415743.7,9415743.7,1E-09,100,0.1,100,True,-1.24550967079374
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.793614283850041,True,dichotomic,23,41956257.6224653,9415743.7,1E-09,100,0.1,100,False,0.39128379283199
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.200000001,True,sequential,1,44316252.9844474,9415743.7,1E-09,100,0.1,100,False,0.19859251316682
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.793614283850041,True,dichotomic,23,41956257.6224653,9415743.7,1E-09,100,0.1,100,False,0.39128379283199
google_pixel_4a_5g,generic,False,False,1000,1,True,dichotomic,0,9415743.7,9415743.7,1E-09,100,0.1,100,False,0.050466009444829
google_pixel_4a_5g,generic,False,False,1000,0.0001,False,----,0,9415743.7,9415743.7,1E-09,100,0.1,100,False,0.375047467607941
google_pixel_4a_5g,generic,False,False,1000,1,True,sequential,0,9415743.7,9415743.7,1E-09,100,0.1,100,False,0.050466009444829
google_pixel_4a_5g,generic,False,False,1000,1,True,sequential,0,9415743.7,9415743.7,1E-09,100,1E-05,100,False,0.050466009444829
google_pixel_4a_5g,generic,False,False,1000,1,True,sequential,0,1000000,1000000,1E-09,100,1E-05,100,False,0.050466009444829
google_pixel_4a_5g,generic,False,False,1000,1,True,sequential,0,1000000,1000000,1E-09,100,1E-05,100,False,0.050466009444829
google_pixel_4a_5g,generic,False,False,1000,0.01000000099,True,dichotomic,1,9790561.18433366,1000000,1E-09,100,1E-05,100,False,0.319950514105311
google_pixel_4a_5g,generic,False,False,1000,0.0199000009801,True,dichotomic,2,9267355.53917263,100000,1E-09,100,1E-05,100,False,0.285768680074418
google_pixel_4a_5g,generic,False,False,1000,0.980496010019504,True,dichotomic,4,9276948.8281201,10000,1E-09,100,1E-05,100,False,0.052778466283061
google_pixel_4a_5g,generic,False,False,1000,0.67306710783312,True,dichotomic,45,8901050.5538781,1000,1E-09,100,1E-05,100,False,0.092107134105815
google_pixel_4a_5g,generic,False,False,1000,0.001010001,True,sequential,100,11563869.3020351,1000,1E-09,100,1E-05,100,False,0.388480519453968
google_pixel_4a_5g,generic,False,False,1000,0.008120001,True,sequential,811,9958691.96717766,1000,1E-09,100000,1E-05,100,False,0.330978084076044
google_pixel_4a_5g,generic,False,False,1000,1,True,sequential,0,1000000,1000000,1E-09,100,1E-05,100,False,0.050466009444829
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,100,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,1000,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,2,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,1000,False,0.23914910577718
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,1,True,explore_all_values,0,32540513.9668556,1000000,1E-09,100,1E-05,10,False,0.380238693877556
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
google_pixel_4a_5g,google_pixel_4a_5g,False,False,1000,0.7936142838500412,True,dichotomic,23,41956257.62246533,9415743.8,1e-09,100,1e-05,100,False,0.39128379283198966,
