X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,1000611200.5585983,1160386427.1561096,159775226.5975113
X_1,Core 0 state,343907465.3646556,2064579809.0515878,1720672343.686932
X_2,Core 1 state,72112925.43767057,2118398164.654133,2046285239.2164626
X_3,Core 2 state,-128171313.16444005,1988706922.6969607,2116878235.8614008
X_4,Core 3 state,-818202220.4500784,2039609265.508494,2857811485.9585724
X_5,Core 4 state,-1414137013.8812077,824315805.2437215,2238452819.1249294
X_6,Core 5 state,-2806395247.106804,2310448873.3479185,5116844120.454722
X_7,Medium Socket or core 6 frequency,1009414132.0768796,1791864555.088849,782450423.0119694
X_8,Big Socket or core 7 frequency,2923164801.222365,811452526.3020192,2111712274.9203458


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_8,Big Socket or core 7 frequency,2923164801.222365,811452526.3020192,2111712274.9203458
X_7,Medium Socket or core 6 frequency,1009414132.0768796,1791864555.088849,782450423.0119694
X_0,frequency level of Little Socket,1000611200.5585983,1160386427.1561096,159775226.5975113
X_1,Core 0 state,343907465.3646556,2064579809.0515878,1720672343.686932
X_2,Core 1 state,72112925.43767057,2118398164.654133,2046285239.2164626
X_3,Core 2 state,-128171313.16444005,1988706922.6969607,2116878235.8614008
X_4,Core 3 state,-818202220.4500784,2039609265.508494,2857811485.9585724
X_5,Core 4 state,-1414137013.8812077,824315805.2437215,2238452819.1249294
X_6,Core 5 state,-2806395247.106804,2310448873.3479185,5116844120.454722


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2806395247.106804,2310448873.3479185,5116844120.454722
X_2,Core 1 state,72112925.43767057,2118398164.654133,2046285239.2164626
X_1,Core 0 state,343907465.3646556,2064579809.0515878,1720672343.686932
X_4,Core 3 state,-818202220.4500784,2039609265.508494,2857811485.9585724
X_3,Core 2 state,-128171313.16444005,1988706922.6969607,2116878235.8614008
X_7,Medium Socket or core 6 frequency,1009414132.0768796,1791864555.088849,782450423.0119694
X_0,frequency level of Little Socket,1000611200.5585983,1160386427.1561096,159775226.5975113
X_5,Core 4 state,-1414137013.8812077,824315805.2437215,2238452819.1249294
X_8,Big Socket or core 7 frequency,2923164801.222365,811452526.3020192,2111712274.9203458


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-2806395247.106804,2310448873.3479185,5116844120.454722
X_4,Core 3 state,-818202220.4500784,2039609265.508494,2857811485.9585724
X_5,Core 4 state,-1414137013.8812077,824315805.2437215,2238452819.1249294
X_3,Core 2 state,-128171313.16444005,1988706922.6969607,2116878235.8614008
X_8,Big Socket or core 7 frequency,2923164801.222365,811452526.3020192,2111712274.9203458
X_2,Core 1 state,72112925.43767057,2118398164.654133,2046285239.2164626
X_1,Core 0 state,343907465.3646556,2064579809.0515878,1720672343.686932
X_7,Medium Socket or core 6 frequency,1009414132.0768796,1791864555.088849,782450423.0119694
X_0,frequency level of Little Socket,1000611200.5585983,1160386427.1561096,159775226.5975113
