configurations,google pixel format, model format, energy_efficiency estimated
022222-0-0,[0- 2- 2- 2- 2- 2- 0- 0],1-0-1-1-1-1-1-1-0-0,10267204188.95198
303303-0-2,[3- 0- 3- 3- 0- 3- 0- 2],2-1-0-1-1-1-0-1-0-1,10266995919.325924
010011-1-2,[0- 1- 0- 0- 1- 1- 1- 2],0-0-1-0-0-1-1-1-1-1,10258199244.87279
010011-2-2,[0- 1- 0- 0- 1- 1- 2- 2],0-0-1-0-0-1-1-1-1-1,10258199244.87279
010011-3-2,[0- 1- 0- 0- 1- 1- 3- 2],0-0-1-0-0-1-1-1-1-1,10258199244.87279
202220-0-2,[2- 0- 2- 2- 2- 0- 0- 2],1-1-0-1-1-1-1-0-0-1,10257379504.645359
000111-1-3,[0- 0- 0- 1- 1- 1- 1- 3],0-0-0-0-1-2-1-1-1-1,10254062672.712051
000111-2-3,[0- 0- 0- 1- 1- 1- 2- 3],0-0-0-0-1-2-1-1-1-1,10254062672.712051
000111-3-3,[0- 0- 0- 1- 1- 1- 3- 3],0-0-0-0-1-2-1-1-1-1,10254062672.712051
003333-0-1,[0- 0- 3- 3- 3- 3- 0- 1],2-0-0-1-1-0-1-1-0-1,10251191287.236855
303330-0-1,[3- 0- 3- 3- 3- 0- 0- 1],2-1-0-1-1-0-1-0-0-1,10250559986.476532
033033-1-2,[0- 3- 3- 0- 3- 3- 1- 2],2-0-1-1-0-1-1-1-1-1,10232189681.290575
033033-2-2,[0- 3- 3- 0- 3- 3- 2- 2],2-0-1-1-0-1-1-1-1-1,10232189681.290575
033033-3-2,[0- 3- 3- 0- 3- 3- 3- 2],2-0-1-1-0-1-1-1-1-1,10232189681.290575
300333-0-1,[3- 0- 0- 3- 3- 3- 0- 1],2-1-0-0-1-0-1-1-0-1,10230415654.454348
110111-3-0,[1- 1- 0- 1- 1- 1- 3- 0],0-1-1-0-1-2-1-1-1-0,10229626340.436275
222022-0-3,[2- 2- 2- 0- 2- 2- 0- 3],1-1-1-1-0-2-1-1-0-1,10227405782.50264
200202-1-1,[2- 0- 0- 2- 0- 2- 1- 1],1-1-0-0-1-0-0-1-1-1,10223629340.314953
200202-2-1,[2- 0- 0- 2- 0- 2- 2- 1],1-1-0-0-1-0-0-1-1-1,10223629340.314953
200202-3-1,[2- 0- 0- 2- 0- 2- 3- 1],1-1-0-0-1-0-0-1-1-1,10223629340.314953
000333-1-1,[0- 0- 0- 3- 3- 3- 1- 1],2-0-0-0-1-0-1-1-1-1,10222548301.471718
000333-2-1,[0- 0- 0- 3- 3- 3- 2- 1],2-0-0-0-1-0-1-1-1-1,10222548301.471718
000333-3-1,[0- 0- 0- 3- 3- 3- 3- 1],2-0-0-0-1-0-1-1-1-1,10222548301.471718
300333-0-3,[3- 0- 0- 3- 3- 3- 0- 3],2-1-0-0-1-2-1-1-0-1,10220701445.113586
333303-3-0,[3- 3- 3- 3- 0- 3- 3- 0],2-1-1-1-1-2-0-1-1-0,10220026334.323874
222022-0-1,[2- 2- 2- 0- 2- 2- 0- 1],1-1-1-1-0-0-1-1-0-1,10213784720.50996
101111-3-0,[1- 0- 1- 1- 1- 1- 3- 0],0-1-0-1-1-2-1-1-1-0,10211791012.617043
101111-0-1,[1- 0- 1- 1- 1- 1- 0- 1],0-1-0-1-1-0-1-1-0-1,10211699403.970871
022202-0-3,[0- 2- 2- 2- 0- 2- 0- 3],1-0-1-1-1-2-0-1-0-1,10208902415.106234
300330-1-2,[3- 0- 0- 3- 3- 0- 1- 2],2-1-0-0-1-1-1-0-1-1,10207280047.870525
300330-2-2,[3- 0- 0- 3- 3- 0- 2- 2],2-1-0-0-1-1-1-0-1-1,10207280047.870525
300330-3-2,[3- 0- 0- 3- 3- 0- 3- 2],2-1-0-0-1-1-1-0-1-1,10207280047.870525
003330-1-2,[0- 0- 3- 3- 3- 0- 1- 2],2-0-0-1-1-1-1-0-1-1,10205521247.665318
003330-2-2,[0- 0- 3- 3- 3- 0- 2- 2],2-0-0-1-1-1-1-0-1-1,10205521247.665318
003330-3-2,[0- 0- 3- 3- 3- 0- 3- 2],2-0-0-1-1-1-1-0-1-1,10205521247.665318
022220-0-1,[0- 2- 2- 2- 2- 0- 0- 1],1-0-1-1-1-0-1-0-0-1,10205097737.139887
330033-1-1,[3- 3- 0- 0- 3- 3- 1- 1],2-1-1-0-0-0-1-1-1-1,10204751949.729206
330033-2-1,[3- 3- 0- 0- 3- 3- 2- 1],2-1-1-0-0-0-1-1-1-1,10204751949.729206
330033-3-1,[3- 3- 0- 0- 3- 3- 3- 1],2-1-1-0-0-0-1-1-1-1,10204751949.729206
100011-1-1,[1- 0- 0- 0- 1- 1- 1- 1],0-1-0-0-0-0-1-1-1-1,10194343874.552885
100011-2-1,[1- 0- 0- 0- 1- 1- 2- 1],0-1-0-0-0-0-1-1-1-1,10194343874.552885
100011-3-1,[1- 0- 0- 0- 1- 1- 3- 1],0-1-0-0-0-0-1-1-1-1,10194343874.552885
110110-1-1,[1- 1- 0- 1- 1- 0- 1- 1],0-1-1-0-1-0-1-0-1-1,10189764096.916996
110110-2-1,[1- 1- 0- 1- 1- 0- 2- 1],0-1-1-0-1-0-1-0-1-1,10189764096.916996
110110-3-1,[1- 1- 0- 1- 1- 0- 3- 1],0-1-1-0-1-0-1-0-1-1,10189764096.916996
020222-3-0,[0- 2- 0- 2- 2- 2- 3- 0],1-0-1-0-1-2-1-1-1-0,10185722605.644083
222020-1-1,[2- 2- 2- 0- 2- 0- 1- 1],1-1-1-1-0-0-1-0-1-1,10184029484.312897
222020-2-1,[2- 2- 2- 0- 2- 0- 2- 1],1-1-1-1-0-0-1-0-1-1,10184029484.312897
222020-3-1,[2- 2- 2- 0- 2- 0- 3- 1],1-1-1-1-0-0-1-0-1-1,10184029484.312897
003330-1-1,[0- 0- 3- 3- 3- 0- 1- 1],2-0-0-1-1-0-1-0-1-1,10182710880.940165
003330-2-1,[0- 0- 3- 3- 3- 0- 2- 1],2-0-0-1-1-0-1-0-1-1,10182710880.940165
003330-3-1,[0- 0- 3- 3- 3- 0- 3- 1],2-0-0-1-1-0-1-0-1-1,10182710880.940165
333330-3-0,[3- 3- 3- 3- 3- 0- 3- 0],2-1-1-1-1-2-1-0-1-0,10177109924.230656
020220-1-3,[0- 2- 0- 2- 2- 0- 1- 3],1-0-1-0-1-2-1-0-1-1,10176990459.843496
020220-2-3,[0- 2- 0- 2- 2- 0- 2- 3],1-0-1-0-1-2-1-0-1-1,10176990459.843496
020220-3-3,[0- 2- 0- 2- 2- 0- 3- 3],1-0-1-0-1-2-1-0-1-1,10176990459.843496
022202-0-2,[0- 2- 2- 2- 0- 2- 0- 2],1-0-1-1-1-1-0-1-0-1,10166719350.367521
030333-0-3,[0- 3- 0- 3- 3- 3- 0- 3],2-0-1-0-1-2-1-1-0-1,10164224557.687191
333033-0-2,[3- 3- 3- 0- 3- 3- 0- 2],2-1-1-1-0-1-1-1-0-1,10162458389.148733
100011-1-3,[1- 0- 0- 0- 1- 1- 1- 3],0-1-0-0-0-2-1-1-1-1,10158752290.707863
100011-2-3,[1- 0- 0- 0- 1- 1- 2- 3],0-1-0-0-0-2-1-1-1-1,10158752290.707863
100011-3-3,[1- 0- 0- 0- 1- 1- 3- 3],0-1-0-0-0-2-1-1-1-1,10158752290.707863
002022-1-1,[0- 0- 2- 0- 2- 2- 1- 1],1-0-0-1-0-0-1-1-1-1,10154522322.375921
002022-2-1,[0- 0- 2- 0- 2- 2- 2- 1],1-0-0-1-0-0-1-1-1-1,10154522322.375921
002022-3-1,[0- 0- 2- 0- 2- 2- 3- 1],1-0-0-1-0-0-1-1-1-1,10154522322.375921
222002-1-2,[2- 2- 2- 0- 0- 2- 1- 2],1-1-1-1-0-1-0-1-1-1,10152855663.270926
222002-2-2,[2- 2- 2- 0- 0- 2- 2- 2],1-1-1-1-0-1-0-1-1-1,10152855663.270926
222002-3-2,[2- 2- 2- 0- 0- 2- 3- 2],1-1-1-1-0-1-0-1-1-1,10152855663.270926
200220-1-3,[2- 0- 0- 2- 2- 0- 1- 3],1-1-0-0-1-2-1-0-1-1,10146832817.738441
200220-2-3,[2- 0- 0- 2- 2- 0- 2- 3],1-1-0-0-1-2-1-0-1-1,10146832817.738441
200220-3-3,[2- 0- 0- 2- 2- 0- 3- 3],1-1-0-0-1-2-1-0-1-1,10146832817.738441
200222-3-0,[2- 0- 0- 2- 2- 2- 3- 0],1-1-0-0-1-2-1-1-1-0,10139901413.440842
300303-1-3,[3- 0- 0- 3- 0- 3- 1- 3],2-1-0-0-1-2-0-1-1-1,10139473896.720568
300303-2-3,[3- 0- 0- 3- 0- 3- 2- 3],2-1-0-0-1-2-0-1-1-1,10139473896.720568
300303-3-3,[3- 0- 0- 3- 0- 3- 3- 3],2-1-0-0-1-2-0-1-1-1,10139473896.720568
101101-1-1,[1- 0- 1- 1- 0- 1- 1- 1],0-1-0-1-1-0-0-1-1-1,10137065470.573677
101101-2-1,[1- 0- 1- 1- 0- 1- 2- 1],0-1-0-1-1-0-0-1-1-1,10137065470.573677
101101-3-1,[1- 0- 1- 1- 0- 1- 3- 1],0-1-0-1-1-0-0-1-1-1,10137065470.573677
033033-1-1,[0- 3- 3- 0- 3- 3- 1- 1],2-0-1-1-0-0-1-1-1-1,10135570214.541407
033033-2-1,[0- 3- 3- 0- 3- 3- 2- 1],2-0-1-1-0-0-1-1-1-1,10135570214.541407
033033-3-1,[0- 3- 3- 0- 3- 3- 3- 1],2-0-1-1-0-0-1-1-1-1,10135570214.541407
011111-1-0,[0- 1- 1- 1- 1- 1- 1- 0],0-0-1-1-1-0-1-1-1-0,10132217587.48404
003333-0-3,[0- 0- 3- 3- 3- 3- 0- 3],2-0-0-1-1-2-1-1-0-1,10127919311.653408
022220-0-3,[0- 2- 2- 2- 2- 0- 0- 3],1-0-1-1-1-2-1-0-0-1,10126667162.204216
000333-1-3,[0- 0- 0- 3- 3- 3- 1- 3],2-0-0-0-1-2-1-1-1-1,10124484325.805174
000333-2-3,[0- 0- 0- 3- 3- 3- 2- 3],2-0-0-0-1-2-1-1-1-1,10124484325.805174
000333-3-3,[0- 0- 0- 3- 3- 3- 3- 3],2-0-0-0-1-2-1-1-1-1,10124484325.805174
030330-1-2,[0- 3- 0- 3- 3- 0- 1- 2],2-0-1-0-1-1-1-0-1-1,10118295017.647774
030330-2-2,[0- 3- 0- 3- 3- 0- 2- 2],2-0-1-0-1-1-1-0-1-1,10118295017.647774
030330-3-2,[0- 3- 0- 3- 3- 0- 3- 2],2-0-1-0-1-1-1-0-1-1,10118295017.647774
020022-1-1,[0- 2- 0- 0- 2- 2- 1- 1],1-0-1-0-0-0-1-1-1-1,10117443234.440098
020022-2-1,[0- 2- 0- 0- 2- 2- 2- 1],1-0-1-0-0-0-1-1-1-1,10117443234.440098
020022-3-1,[0- 2- 0- 0- 2- 2- 3- 1],1-0-1-0-0-0-1-1-1-1,10117443234.440098
222022-2-0,[2- 2- 2- 0- 2- 2- 2- 0],1-1-1-1-0-1-1-1-1-0,10112822447.801304
001011-1-2,[0- 0- 1- 0- 1- 1- 1- 2],0-0-0-1-0-1-1-1-1-1,10112304313.36305
001011-2-2,[0- 0- 1- 0- 1- 1- 2- 2],0-0-0-1-0-1-1-1-1-1,10112304313.36305
001011-3-2,[0- 0- 1- 0- 1- 1- 3- 2],0-0-0-1-0-1-1-1-1-1,10112304313.36305
030333-0-1,[0- 3- 0- 3- 3- 3- 0- 1],2-0-1-0-1-0-1-1-0-1,10110701310.504908
000111-1-1,[0- 0- 0- 1- 1- 1- 1- 1],0-0-0-0-1-0-1-1-1-1,10106844597.117899
000111-2-1,[0- 0- 0- 1- 1- 1- 2- 1],0-0-0-0-1-0-1-1-1-1,10106844597.117899
000111-3-1,[0- 0- 0- 1- 1- 1- 3- 1],0-0-0-0-1-0-1-1-1-1,10106844597.117899
300330-1-1,[3- 0- 0- 3- 3- 0- 1- 1],2-1-0-0-1-0-1-0-1-1,10098591717.352867
300330-2-1,[3- 0- 0- 3- 3- 0- 2- 1],2-1-0-0-1-0-1-0-1-1,10098591717.352867
300330-3-1,[3- 0- 0- 3- 3- 0- 3- 1],2-1-0-0-1-0-1-0-1-1,10098591717.352867
220202-0-3,[2- 2- 0- 2- 0- 2- 0- 3],1-1-1-0-1-2-0-1-0-1,10093145746.940165
303303-0-3,[3- 0- 3- 3- 0- 3- 0- 3],2-1-0-1-1-2-0-1-0-1,10089213608.588026
002220-1-3,[0- 0- 2- 2- 2- 0- 1- 3],1-0-0-1-1-2-1-0-1-1,10080889011.73549
002220-2-3,[0- 0- 2- 2- 2- 0- 2- 3],1-0-0-1-1-2-1-0-1-1,10080889011.73549
002220-3-3,[0- 0- 2- 2- 2- 0- 3- 3],1-0-0-1-1-2-1-0-1-1,10080889011.73549
033303-0-2,[0- 3- 3- 3- 0- 3- 0- 2],2-0-1-1-1-1-0-1-0-1,10076754783.012295
002222-3-0,[0- 0- 2- 2- 2- 2- 3- 0],1-0-0-1-1-2-1-1-1-0,10070998991.214352
020022-1-3,[0- 2- 0- 0- 2- 2- 1- 3],1-0-1-0-0-2-1-1-1-1,10070919249.604916
020022-2-3,[0- 2- 0- 0- 2- 2- 2- 3],1-0-1-0-0-2-1-1-1-1,10070919249.604916
020022-3-3,[0- 2- 0- 0- 2- 2- 3- 3],1-0-1-0-0-2-1-1-1-1,10070919249.604916
110111-0-1,[1- 1- 0- 1- 1- 1- 0- 1],0-1-1-0-1-0-1-1-0-1,10065023698.248892
111101-0-3,[1- 1- 1- 1- 0- 1- 0- 3],0-1-1-1-1-2-0-1-0-1,10063233677.600807
303033-1-3,[3- 0- 3- 0- 3- 3- 1- 3],2-1-0-1-0-2-1-1-1-1,10059161476.008614
303033-2-3,[3- 0- 3- 0- 3- 3- 2- 3],2-1-0-1-0-2-1-1-1-1,10059161476.008614
303033-3-3,[3- 0- 3- 0- 3- 3- 3- 3],2-1-0-1-0-2-1-1-1-1,10059161476.008614
202222-0-0,[2- 0- 2- 2- 2- 2- 0- 0],1-1-0-1-1-1-1-1-0-0,10052477427.170696
100101-1-2,[1- 0- 0- 1- 0- 1- 1- 2],0-1-0-0-1-1-0-1-1-1,10048618708.711973
100101-2-2,[1- 0- 0- 1- 0- 1- 2- 2],0-1-0-0-1-1-0-1-1-1,10048618708.711973
100101-3-2,[1- 0- 0- 1- 0- 1- 3- 2],0-1-0-0-1-1-0-1-1-1,10048618708.711973
100101-1-3,[1- 0- 0- 1- 0- 1- 1- 3],0-1-0-0-1-2-0-1-1-1,10039528009.47105
100101-2-3,[1- 0- 0- 1- 0- 1- 2- 3],0-1-0-0-1-2-0-1-1-1,10039528009.47105
100101-3-3,[1- 0- 0- 1- 0- 1- 3- 3],0-1-0-0-1-2-0-1-1-1,10039528009.47105
300333-2-0,[3- 0- 0- 3- 3- 3- 2- 0],2-1-0-0-1-1-1-1-1-0,10036409397.493229
202220-0-1,[2- 0- 2- 2- 2- 0- 0- 1],1-1-0-1-1-0-1-0-0-1,10021527863.16782
003303-1-2,[0- 0- 3- 3- 0- 3- 1- 2],2-0-0-1-1-1-0-1-1-1,10020660710.286901
003303-2-2,[0- 0- 3- 3- 0- 3- 2- 2],2-0-0-1-1-1-0-1-1-1,10020660710.286901
003303-3-2,[0- 0- 3- 3- 0- 3- 3- 2],2-0-0-1-1-1-0-1-1-1,10020660710.286901
002222-1-0,[0- 0- 2- 2- 2- 2- 1- 0],1-0-0-1-1-0-1-1-1-0,10018194121.332495
333033-0-1,[3- 3- 3- 0- 3- 3- 0- 1],2-1-1-1-0-0-1-1-0-1,10013454684.153276
010011-1-3,[0- 1- 0- 0- 1- 1- 1- 3],0-0-1-0-0-2-1-1-1-1,10012581599.758081
010011-2-3,[0- 1- 0- 0- 1- 1- 2- 3],0-0-1-0-0-2-1-1-1-1,10012581599.758081
010011-3-3,[0- 1- 0- 0- 1- 1- 3- 3],0-0-1-0-0-2-1-1-1-1,10012581599.758081
333303-1-0,[3- 3- 3- 3- 0- 3- 1- 0],2-1-1-1-1-0-0-1-1-0,10005117581.310497
110101-1-1,[1- 1- 0- 1- 0- 1- 1- 1],0-1-1-0-1-0-0-1-1-1,10002069130.089157
110101-2-1,[1- 1- 0- 1- 0- 1- 2- 1],0-1-1-0-1-0-0-1-1-1,10002069130.089157
110101-3-1,[1- 1- 0- 1- 0- 1- 3- 1],0-1-1-0-1-0-0-1-1-1,10002069130.089157
220202-0-2,[2- 2- 0- 2- 0- 2- 0- 2],1-1-1-0-1-1-0-1-0-1,9999716127.700077
101111-1-0,[1- 0- 1- 1- 1- 1- 1- 0],0-1-0-1-1-0-1-1-1-0,9998715304.126612
003333-2-0,[0- 0- 3- 3- 3- 3- 2- 0],2-0-0-1-1-1-1-1-1-0,9990167534.345903
030330-1-1,[0- 3- 0- 3- 3- 0- 1- 1],2-0-1-0-1-0-1-0-1-1,9990088468.187742
030330-2-1,[0- 3- 0- 3- 3- 0- 2- 1],2-0-1-0-1-0-1-0-1-1,9990088468.187742
030330-3-1,[0- 3- 0- 3- 3- 0- 3- 1],2-0-1-0-1-0-1-0-1-1,9990088468.187742
111110-0-2,[1- 1- 1- 1- 1- 0- 0- 2],0-1-1-1-1-1-1-0-0-1,9984321336.134695
033333-0-0,[0- 3- 3- 3- 3- 3- 0- 0],2-0-1-1-1-2-1-1-0-0,9982131294.417898
200222-1-0,[2- 0- 0- 2- 2- 2- 1- 0],1-1-0-0-1-0-1-1-1-0,9976996637.707712
222002-1-3,[2- 2- 2- 0- 0- 2- 1- 3],1-1-1-1-0-2-0-1-1-1,9975537570.145208
222002-2-3,[2- 2- 2- 0- 0- 2- 2- 3],1-1-1-1-0-2-0-1-1-1,9975537570.145208
222002-3-3,[2- 2- 2- 0- 0- 2- 3- 3],1-1-1-1-0-2-0-1-1-1,9975537570.145208
010011-1-1,[0- 1- 0- 0- 1- 1- 1- 1],0-0-1-0-0-0-1-1-1-1,9975474698.221872
010011-2-1,[0- 1- 0- 0- 1- 1- 2- 1],0-0-1-0-0-0-1-1-1-1,9975474698.221872
010011-3-1,[0- 1- 0- 0- 1- 1- 3- 1],0-0-1-0-0-0-1-1-1-1,9975474698.221872
033330-0-3,[0- 3- 3- 3- 3- 0- 0- 3],2-0-1-1-1-2-1-0-0-1,9974987855.494146
002202-1-1,[0- 0- 2- 2- 0- 2- 1- 1],1-0-0-1-1-0-0-1-1-1,9968434482.859869
002202-2-1,[0- 0- 2- 2- 0- 2- 2- 1],1-0-0-1-1-0-0-1-1-1,9968434482.859869
002202-3-1,[0- 0- 2- 2- 0- 2- 3- 1],1-0-0-1-1-0-0-1-1-1,9968434482.859869
222202-1-0,[2- 2- 2- 2- 0- 2- 1- 0],1-1-1-1-1-0-0-1-1-0,9967224485.168732
020222-1-0,[0- 2- 0- 2- 2- 2- 1- 0],1-0-1-0-1-0-1-1-1-0,9965081434.97664
330033-1-3,[3- 3- 0- 0- 3- 3- 1- 3],2-1-1-0-0-2-1-1-1-1,9958143827.870296
330033-2-3,[3- 3- 0- 0- 3- 3- 2- 3],2-1-1-0-0-2-1-1-1-1,9958143827.870296
330033-3-3,[3- 3- 0- 0- 3- 3- 3- 3],2-1-1-0-0-2-1-1-1-1,9958143827.870296
030303-1-2,[0- 3- 0- 3- 0- 3- 1- 2],2-0-1-0-1-1-0-1-1-1,9954903460.80619
030303-2-2,[0- 3- 0- 3- 0- 3- 2- 2],2-0-1-0-1-1-0-1-1-1,9954903460.80619
030303-3-2,[0- 3- 0- 3- 0- 3- 3- 2],2-0-1-0-1-1-0-1-1-1,9954903460.80619
220220-0-2,[2- 2- 0- 2- 2- 0- 0- 2],1-1-1-0-1-1-1-0-0-1,9953194592.705063
033303-0-3,[0- 3- 3- 3- 0- 3- 0- 3],2-0-1-1-1-2-0-1-0-1,9952625797.58694
330330-0-2,[3- 3- 0- 3- 3- 0- 0- 2],2-1-1-0-1-1-1-0-0-1,9949495564.003458
300303-1-1,[3- 0- 0- 3- 0- 3- 1- 1],2-1-0-0-1-0-0-1-1-1,9948632293.419718
300303-2-1,[3- 0- 0- 3- 0- 3- 2- 1],2-1-0-0-1-0-0-1-1-1,9948632293.419718
300303-3-1,[3- 0- 0- 3- 0- 3- 3- 1],2-1-0-0-1-0-0-1-1-1,9948632293.419718
011101-1-1,[0- 1- 1- 1- 0- 1- 1- 1],0-0-1-1-1-0-0-1-1-1,9942095477.965687
011101-2-1,[0- 1- 1- 1- 0- 1- 2- 1],0-0-1-1-1-0-0-1-1-1,9942095477.965687
011101-3-1,[0- 1- 1- 1- 0- 1- 3- 1],0-0-1-1-1-0-0-1-1-1,9942095477.965687
202220-0-3,[2- 0- 2- 2- 2- 0- 0- 3],1-1-0-1-1-2-1-0-0-1,9940787503.045095
202200-1-2,[2- 0- 2- 2- 0- 0- 1- 2],1-1-0-1-1-1-0-0-1-1,9935450816.456038
202200-2-2,[2- 0- 2- 2- 0- 0- 2- 2],1-1-0-1-1-1-0-0-1-1,9935450816.456038
202200-3-2,[2- 0- 2- 2- 0- 0- 3- 2],1-1-0-1-1-1-0-0-1-1,9935450816.456038
030333-2-0,[0- 3- 0- 3- 3- 3- 2- 0],2-0-1-0-1-1-1-1-1-0,9934057984.652817
022220-2-0,[0- 2- 2- 2- 2- 0- 2- 0],1-0-1-1-1-1-1-0-1-0,9926174768.01117
002022-1-3,[0- 0- 2- 0- 2- 2- 1- 3],1-0-0-1-0-2-1-1-1-1,9919752166.402199
002022-2-3,[0- 0- 2- 0- 2- 2- 2- 3],1-0-0-1-0-2-1-1-1-1,9919752166.402199
002022-3-3,[0- 0- 2- 0- 2- 2- 3- 3],1-0-0-1-0-2-1-1-1-1,9919752166.402199
330303-0-2,[3- 3- 0- 3- 0- 3- 0- 2],2-1-1-0-1-1-0-1-0-1,9912078147.32804
001011-1-1,[0- 0- 1- 0- 1- 1- 1- 1],0-0-0-1-0-0-1-1-1-1,9909184040.859682
001011-2-1,[0- 0- 1- 0- 1- 1- 2- 1],0-0-0-1-0-0-1-1-1-1,9909184040.859682
001011-3-1,[0- 0- 1- 0- 1- 1- 3- 1],0-0-0-1-0-0-1-1-1-1,9909184040.859682
222022-1-0,[2- 2- 2- 0- 2- 2- 1- 0],1-1-1-1-0-0-1-1-1-0,9905865756.394472
020202-1-1,[0- 2- 0- 2- 0- 2- 1- 1],1-0-1-0-1-0-0-1-1-1,9898003567.415123
020202-2-1,[0- 2- 0- 2- 0- 2- 2- 1],1-0-1-0-1-0-0-1-1-1,9898003567.415123
020202-3-1,[0- 2- 0- 2- 0- 2- 3- 1],1-0-1-0-1-0-0-1-1-1,9898003567.415123
111101-0-2,[1- 1- 1- 1- 0- 1- 0- 2],0-1-1-1-1-1-0-1-0-1,9897235080.774588
110111-1-0,[1- 1- 0- 1- 1- 1- 1- 0],0-1-1-0-1-0-1-1-1-0,9890731526.967316
333030-1-1,[3- 3- 3- 0- 3- 0- 1- 1],2-1-1-1-0-0-1-0-1-1,9876779269.72306
333030-2-1,[3- 3- 3- 0- 3- 0- 2- 1],2-1-1-1-0-0-1-0-1-1,9876779269.72306
333030-3-1,[3- 3- 3- 0- 3- 0- 3- 1],2-1-1-1-0-0-1-0-1-1,9876779269.72306
300033-1-2,[3- 0- 0- 0- 3- 3- 1- 2],2-1-0-0-0-1-1-1-1-1,9871756160.53324
300033-2-2,[3- 0- 0- 0- 3- 3- 2- 2],2-1-0-0-0-1-1-1-1-1,9871756160.53324
300033-3-2,[3- 0- 0- 0- 3- 3- 3- 2],2-1-0-0-0-1-1-1-1-1,9871756160.53324
303330-0-3,[3- 0- 3- 3- 3- 0- 0- 3],2-1-0-1-1-2-1-0-0-1,9858459285.782055
333030-1-2,[3- 3- 3- 0- 3- 0- 1- 2],2-1-1-1-0-1-1-0-1-1,9847734518.746212
333030-2-2,[3- 3- 3- 0- 3- 0- 2- 2],2-1-1-1-0-1-1-0-1-1,9847734518.746212
333030-3-2,[3- 3- 3- 0- 3- 0- 3- 2],2-1-1-1-0-1-1-0-1-1,9847734518.746212
330303-0-3,[3- 3- 0- 3- 0- 3- 0- 3],2-1-1-0-1-2-0-1-0-1,9847076877.917841
202022-0-2,[2- 0- 2- 0- 2- 2- 0- 2],1-1-0-1-0-1-1-1-0-1,9845299745.092545
022200-1-2,[0- 2- 2- 2- 0- 0- 1- 2],1-0-1-1-1-1-0-0-1-1,9844340708.440653
022200-2-2,[0- 2- 2- 2- 0- 0- 2- 2],1-0-1-1-1-1-0-0-1-1,9844340708.440653
022200-3-2,[0- 2- 2- 2- 0- 0- 3- 2],1-0-1-1-1-1-0-0-1-1,9844340708.440653
303333-0-0,[3- 0- 3- 3- 3- 3- 0- 0],2-1-0-1-1-2-1-1-0-0,9843210334.506283
303303-0-1,[3- 0- 3- 3- 0- 3- 0- 1],2-1-0-1-1-0-0-1-0-1,9842355021.725239
111110-0-3,[1- 1- 1- 1- 1- 0- 0- 3],0-1-1-1-1-2-1-0-0-1,9841477062.49873
100111-0-2,[1- 0- 0- 1- 1- 1- 0- 2],0-1-0-0-1-1-1-1-0-1,9841352290.329838
010111-0-2,[0- 1- 0- 1- 1- 1- 0- 2],0-0-1-0-1-1-1-1-0-1,9840549004.14034
010110-1-2,[0- 1- 0- 1- 1- 0- 1- 2],0-0-1-0-1-1-1-0-1-1,9835576266.58476
010110-2-2,[0- 1- 0- 1- 1- 0- 2- 2],0-0-1-0-1-1-1-0-1-1,9835576266.58476
010110-3-2,[0- 1- 0- 1- 1- 0- 3- 2],0-0-1-0-1-1-1-0-1-1,9835576266.58476
303300-1-2,[3- 0- 3- 3- 0- 0- 1- 2],2-1-0-1-1-1-0-0-1-1,9833255716.75869
303300-2-2,[3- 0- 3- 3- 0- 0- 2- 2],2-1-0-1-1-1-0-0-1-1,9833255716.75869
303300-3-2,[3- 0- 3- 3- 0- 0- 3- 2],2-1-0-1-1-1-0-0-1-1,9833255716.75869
010101-1-3,[0- 1- 0- 1- 0- 1- 1- 3],0-0-1-0-1-2-0-1-1-1,9831252361.891064
010101-2-3,[0- 1- 0- 1- 0- 1- 2- 3],0-0-1-0-1-2-0-1-1-1,9831252361.891064
010101-3-3,[0- 1- 0- 1- 0- 1- 3- 3],0-0-1-0-1-2-0-1-1-1,9831252361.891064
111011-0-2,[1- 1- 1- 0- 1- 1- 0- 2],0-1-1-1-0-1-1-1-0-1,9829539397.332945
222020-1-3,[2- 2- 2- 0- 2- 0- 1- 3],1-1-1-1-0-2-1-0-1-1,9827474580.929771
222020-2-3,[2- 2- 2- 0- 2- 0- 2- 3],1-1-1-1-0-2-1-0-1-1,9827474580.929771
222020-3-3,[2- 2- 2- 0- 2- 0- 3- 3],1-1-1-1-0-2-1-0-1-1,9827474580.929771
222022-3-0,[2- 2- 2- 0- 2- 2- 3- 0],1-1-1-1-0-2-1-1-1-0,9826213817.898785
030303-1-3,[0- 3- 0- 3- 0- 3- 1- 3],2-0-1-0-1-2-0-1-1-1,9820092581.322939
030303-2-3,[0- 3- 0- 3- 0- 3- 2- 3],2-0-1-0-1-2-0-1-1-1,9820092581.322939
030303-3-3,[0- 3- 0- 3- 0- 3- 3- 3],2-0-1-0-1-2-0-1-1-1,9820092581.322939
003333-1-0,[0- 0- 3- 3- 3- 3- 1- 0],2-0-0-1-1-0-1-1-1-0,9814148088.59792
033330-2-0,[0- 3- 3- 3- 3- 0- 2- 0],2-0-1-1-1-1-1-0-1-0,9808424006.795208
001011-1-3,[0- 0- 1- 0- 1- 1- 1- 3],0-0-0-1-0-2-1-1-1-1,9805404023.518608
001011-2-3,[0- 0- 1- 0- 1- 1- 2- 3],0-0-0-1-0-2-1-1-1-1,9805404023.518608
