configurations,google pixel format, model format, energy_efficiency estimated
333330-1-2,[3- 3- 3- 3- 3- 0- 1- 2],2-1-1-1-1-1-1-0-1-1,12239463137.785631
333330-2-2,[3- 3- 3- 3- 3- 0- 2- 2],2-1-1-1-1-1-1-0-1-1,12239463137.785631
333330-3-2,[3- 3- 3- 3- 3- 0- 3- 2],2-1-1-1-1-1-1-0-1-1,12239463137.785631
222222-0-1,[2- 2- 2- 2- 2- 2- 0- 1],1-1-1-1-1-0-1-1-0-1,12193264618.163574
222202-1-2,[2- 2- 2- 2- 0- 2- 1- 2],1-1-1-1-1-1-0-1-1-1,12188368152.528992
222202-2-2,[2- 2- 2- 2- 0- 2- 2- 2],1-1-1-1-1-1-0-1-1-1,12188368152.528992
222202-3-2,[2- 2- 2- 2- 0- 2- 3- 2],1-1-1-1-1-1-0-1-1-1,12188368152.528992
222222-2-0,[2- 2- 2- 2- 2- 2- 2- 0],1-1-1-1-1-1-1-1-1-0,12148760793.084257
222220-1-1,[2- 2- 2- 2- 2- 0- 1- 1],1-1-1-1-1-0-1-0-1-1,12140229459.392578
222220-2-1,[2- 2- 2- 2- 2- 0- 2- 1],1-1-1-1-1-0-1-0-1-1,12140229459.392578
222220-3-1,[2- 2- 2- 2- 2- 0- 3- 1],1-1-1-1-1-0-1-0-1-1,12140229459.392578
333333-0-3,[3- 3- 3- 3- 3- 3- 0- 3],2-1-1-1-1-2-1-1-0-1,12137997481.78772
333330-1-1,[3- 3- 3- 3- 3- 0- 1- 1],2-1-1-1-1-0-1-0-1-1,12125072291.715694
333330-2-1,[3- 3- 3- 3- 3- 0- 2- 1],2-1-1-1-1-0-1-0-1-1,12125072291.715694
333330-3-1,[3- 3- 3- 3- 3- 0- 3- 1],2-1-1-1-1-0-1-0-1-1,12125072291.715694
111111-1-1,[1- 1- 1- 1- 1- 1- 1- 1],0-1-1-1-1-0-1-1-1-1,12112317580.862595
111111-2-1,[1- 1- 1- 1- 1- 1- 2- 1],0-1-1-1-1-0-1-1-1-1,12112317580.862595
111111-3-1,[1- 1- 1- 1- 1- 1- 3- 1],0-1-1-1-1-0-1-1-1-1,12112317580.862595
033333-1-1,[0- 3- 3- 3- 3- 3- 1- 1],2-0-1-1-1-0-1-1-1-1,12111653953.865456
033333-2-1,[0- 3- 3- 3- 3- 3- 2- 1],2-0-1-1-1-0-1-1-1-1,12111653953.865456
033333-3-1,[0- 3- 3- 3- 3- 3- 3- 1],2-0-1-1-1-0-1-1-1-1,12111653953.865456
200222-1-2,[2- 0- 0- 2- 2- 2- 1- 2],1-1-0-0-1-1-1-1-1-1,12107052926.011929
200222-2-2,[2- 0- 0- 2- 2- 2- 2- 2],1-1-0-0-1-1-1-1-1-1,12107052926.011929
200222-3-2,[2- 0- 0- 2- 2- 2- 3- 2],1-1-0-0-1-1-1-1-1-1,12107052926.011929
330333-1-1,[3- 3- 0- 3- 3- 3- 1- 1],2-1-1-0-1-0-1-1-1-1,12073026815.64835
330333-2-1,[3- 3- 0- 3- 3- 3- 2- 1],2-1-1-0-1-0-1-1-1-1,12073026815.64835
330333-3-1,[3- 3- 0- 3- 3- 3- 3- 1],2-1-1-0-1-0-1-1-1-1,12073026815.64835
110111-1-2,[1- 1- 0- 1- 1- 1- 1- 2],0-1-1-0-1-1-1-1-1-1,12000612790.655552
110111-2-2,[1- 1- 0- 1- 1- 1- 2- 2],0-1-1-0-1-1-1-1-1-1,12000612790.655552
110111-3-2,[1- 1- 0- 1- 1- 1- 3- 2],0-1-1-0-1-1-1-1-1-1,12000612790.655552
222202-1-3,[2- 2- 2- 2- 0- 2- 1- 3],1-1-1-1-1-2-0-1-1-1,11996786740.285166
222202-2-3,[2- 2- 2- 2- 0- 2- 2- 3],1-1-1-1-1-2-0-1-1-1,11996786740.285166
222202-3-3,[2- 2- 2- 2- 0- 2- 3- 3],1-1-1-1-1-2-0-1-1-1,11996786740.285166
