X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-24302928.47166979,1100470630.687345,1124773559.1590147
X_1,Core 0 state,-848771512.6321399,3013408220.2701793,3862179732.902319
X_2,Core 1 state,-573777249.3126062,2994673442.7539153,3568450692.0665216
X_3,Core 2 state,-672328810.9324038,2211978366.822596,2884307177.755
X_4,Core 3 state,-608065448.4310292,1064387790.7683651,1672453239.1993942
X_5,Core 4 state,237598924.2425849,270292673.46136653,32693749.21878162
X_6,Core 5 state,-1541309076.7006836,2566022079.660638,4107331156.3613214
X_7,Medium Socket or core 6 frequency,-373430914.66112703,1520981011.0296671,1894411925.6907942
X_8,Big Socket or core 7 frequency,232690125.75441536,1193597545.8656027,960907420.1111873


 Ordered by kernel ridge coefficients, higher is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,Core 4 state,237598924.2425849,270292673.46136653,32693749.21878162
X_8,Big Socket or core 7 frequency,232690125.75441536,1193597545.8656027,960907420.1111873
X_0,frequency level of Little Socket,-24302928.47166979,1100470630.687345,1124773559.1590147
X_7,Medium Socket or core 6 frequency,-373430914.66112703,1520981011.0296671,1894411925.6907942
X_2,Core 1 state,-573777249.3126062,2994673442.7539153,3568450692.0665216
X_4,Core 3 state,-608065448.4310292,1064387790.7683651,1672453239.1993942
X_3,Core 2 state,-672328810.9324038,2211978366.822596,2884307177.755
X_1,Core 0 state,-848771512.6321399,3013408220.2701793,3862179732.902319
X_6,Core 5 state,-1541309076.7006836,2566022079.660638,4107331156.3613214


 Ordered by linear regression coefficients, higher is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_1,Core 0 state,-848771512.6321399,3013408220.2701793,3862179732.902319
X_2,Core 1 state,-573777249.3126062,2994673442.7539153,3568450692.0665216
X_6,Core 5 state,-1541309076.7006836,2566022079.660638,4107331156.3613214
X_3,Core 2 state,-672328810.9324038,2211978366.822596,2884307177.755
X_7,Medium Socket or core 6 frequency,-373430914.66112703,1520981011.0296671,1894411925.6907942
X_8,Big Socket or core 7 frequency,232690125.75441536,1193597545.8656027,960907420.1111873
X_0,frequency level of Little Socket,-24302928.47166979,1100470630.687345,1124773559.1590147
X_4,Core 3 state,-608065448.4310292,1064387790.7683651,1672453239.1993942
X_5,Core 4 state,237598924.2425849,270292673.46136653,32693749.21878162


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 5 state,-1541309076.7006836,2566022079.660638,4107331156.3613214
X_1,Core 0 state,-848771512.6321399,3013408220.2701793,3862179732.902319
X_2,Core 1 state,-573777249.3126062,2994673442.7539153,3568450692.0665216
X_3,Core 2 state,-672328810.9324038,2211978366.822596,2884307177.755
X_7,Medium Socket or core 6 frequency,-373430914.66112703,1520981011.0296671,1894411925.6907942
X_4,Core 3 state,-608065448.4310292,1064387790.7683651,1672453239.1993942
X_0,frequency level of Little Socket,-24302928.47166979,1100470630.687345,1124773559.1590147
X_8,Big Socket or core 7 frequency,232690125.75441536,1193597545.8656027,960907420.1111873
X_5,Core 4 state,237598924.2425849,270292673.46136653,32693749.21878162
