X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_0,frequency level of Little Socket,-464079570.45148593,463475167.59674156,927554738.0482275
X_1,Core 0 state,-1463427459.8175542,913195271.2072272,2376622731.024781
X_2,Core 1 state,-1262295675.048803,1112034762.5120502,2374330437.560853
X_3,Core 2 state,-1644412844.9485848,1137399538.378798,2781812383.327383
X_4,Core 3 state,-3088395573.2049294,2308149659.4488873,5396545232.653816
X_5,frequency level of Big Socket,236312365.468121,39041058.975076854,197271306.49304414
X_6,Core 4 state,-2873393885.4892583,2692948767.503813,5566342652.993071
X_7,Core 5 state,-2722473666.954267,2005830353.2589607,4728304020.213228
X_8,Core 6 state,-2114667329.4125197,1800340181.3984437,3915007510.8109636
X_9,Core 7 state,-2879418196.9134474,2488012051.6555505,5367430248.568998


 Ordered by kernel ridge coefficients, highest is better 
 X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_5,frequency level of Big Socket,236312365.468121,39041058.975076854,197271306.49304414
X_0,frequency level of Little Socket,-464079570.45148593,463475167.59674156,927554738.0482275
X_2,Core 1 state,-1262295675.048803,1112034762.5120502,2374330437.560853
X_1,Core 0 state,-1463427459.8175542,913195271.2072272,2376622731.024781
X_3,Core 2 state,-1644412844.9485848,1137399538.378798,2781812383.327383
X_8,Core 6 state,-2114667329.4125197,1800340181.3984437,3915007510.8109636
X_7,Core 5 state,-2722473666.954267,2005830353.2589607,4728304020.213228
X_6,Core 4 state,-2873393885.4892583,2692948767.503813,5566342652.993071
X_9,Core 7 state,-2879418196.9134474,2488012051.6555505,5367430248.568998
X_4,Core 3 state,-3088395573.2049294,2308149659.4488873,5396545232.653816


 Ordered by linear regression coefficients, highest is better 
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 4 state,-2873393885.4892583,2692948767.503813,5566342652.993071
X_9,Core 7 state,-2879418196.9134474,2488012051.6555505,5367430248.568998
X_4,Core 3 state,-3088395573.2049294,2308149659.4488873,5396545232.653816
X_7,Core 5 state,-2722473666.954267,2005830353.2589607,4728304020.213228
X_8,Core 6 state,-2114667329.4125197,1800340181.3984437,3915007510.8109636
X_3,Core 2 state,-1644412844.9485848,1137399538.378798,2781812383.327383
X_2,Core 1 state,-1262295675.048803,1112034762.5120502,2374330437.560853
X_1,Core 0 state,-1463427459.8175542,913195271.2072272,2376622731.024781
X_0,frequency level of Little Socket,-464079570.45148593,463475167.59674156,927554738.0482275
X_5,frequency level of Big Socket,236312365.468121,39041058.975076854,197271306.49304414


 Ordered by absolute difference, between kernel ridge, and linear coefficients, the first has the maximum non linearity variation  
X_variable,meaning ,kernel ridge margins,linear regression coefficients,difference
X_6,Core 4 state,-2873393885.4892583,2692948767.503813,5566342652.993071
X_4,Core 3 state,-3088395573.2049294,2308149659.4488873,5396545232.653816
X_9,Core 7 state,-2879418196.9134474,2488012051.6555505,5367430248.568998
X_7,Core 5 state,-2722473666.954267,2005830353.2589607,4728304020.213228
X_8,Core 6 state,-2114667329.4125197,1800340181.3984437,3915007510.8109636
X_3,Core 2 state,-1644412844.9485848,1137399538.378798,2781812383.327383
X_1,Core 0 state,-1463427459.8175542,913195271.2072272,2376622731.024781
X_2,Core 1 state,-1262295675.048803,1112034762.5120502,2374330437.560853
X_0,frequency level of Little Socket,-464079570.45148593,463475167.59674156,927554738.0482275
X_5,frequency level of Big Socket,236312365.468121,39041058.975076854,197271306.49304414
